episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss, stacking_duration
5936, -3499.2178864479065, 3, 14.930495876999885, 352, 14816, 114816, 25.121858596801758, 455.1064758300781, 4.8985795460380774e-08
5937, -3244.9326573610306, 1, 41.16909633999967, 978, 15794, 115794, 24.85051155090332, 455.1259460449219, 2.67269934573047e-08
5938, -2454.7310557961464, 3, 8.539202977000059, 203, 15997, 115997, 24.8529109954834, 455.9669494628906, 8.340886304570187e-08
5939, -3364.493207335472, 2, 17.35335147099977, 402, 16399, 116399, 24.712305068969727, 455.42303466796875, 4.284328185091379e-08
5940, 2230.3575260341167, 1, 8.740512442999716, 207, 16606, 116606, 24.789339065551758, 455.4226989746094, 8.818840682939604e-08
5941, -3418.6704194545746, 2, 18.738293537000573, 441, 17047, 117047, 24.308700561523438, 455.8700256347656, 3.557596386694339e-08
5942, 2204.0084884166718, 1, 9.93747812699985, 232, 17279, 117279, 23.86233139038086, 456.6120300292969, 7.060775872026891e-08
5943, -2853.005520582199, 3, 3.507832342999791, 78, 17357, 117357, 24.51157569885254, 456.4543762207031, 3.272820532192082e-07
5944, 2228.6201501488686, 1, 6.331059160999757, 148, 17505, 117505, 23.98594856262207, 455.69378662109375, 1.103445983234623e-07
5945, -3969.64067029953, 2, 27.343515991999993, 644, 18149, 118149, 24.13357925415039, 456.49884033203125, 3.1378882024158804e-08
5946, 2077.5642071962357, 1, 10.736665618000188, 251, 18400, 118400, 23.839584350585938, 458.36669921875, 7.180876284211584e-08
5947, -2817.9315831661224, 3, 14.321885207999912, 332, 18732, 118732, 23.999425888061523, 456.35162353515625, 5.483132619964778e-08
5948, -3615.5998264551163, 2, 17.126248562999535, 402, 19134, 119134, 23.65654182434082, 458.3666687011719, 4.269154103089411e-08
