episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss, stacking_duration
100, 2396.690753221512, 1, 4.535300843010191, 100, 23864, 48864, 12.731877326965332, 48.8157844543457, 2.528203185647726e-07
101, -2525.0262353420258, 3, 2.323843243997544, 45, 23909, 48909, 12.335427284240723, 49.16539001464844, 8.288007746968005e-07
102, -3081.2827203273773, 3, 10.929597251000814, 233, 24142, 49142, 12.242340087890625, 48.74709701538086, 1.1899994182612251e-07
103, -4391.465692996979, 2, 20.974192288005725, 463, 24605, 49605, 12.516056060791016, 49.7120361328125, 3.997407970270122e-08
104, -2491.801342010498, 3, 6.315113138989545, 134, 24739, 49739, 13.189271926879883, 49.88010025024414, 2.741567797458439e-07
105, -5967.818523526192, 2, 41.409968418010976, 902, 25641, 50641, 12.365039825439453, 50.70492172241211, 2.9656286981212855e-08
106, -3733.0714313983917, 2, 14.357700994005427, 315, 25956, 50956, 12.216175079345703, 51.469600677490234, 1.2593643207635198e-07
107, -2635.748349428177, 3, 6.519258690008428, 136, 26092, 51092, 12.535106658935547, 52.29536056518555, 1.4481638037763973e-07
108, -3779.872791528702, 2, 14.161946810025256, 310, 26402, 51402, 12.29159164428711, 51.66796112060547, 6.420962182023832e-08
109, -2663.912755727768, 3, 6.115863553015515, 128, 26530, 51530, 12.605283737182617, 52.698856353759766, 1.7460160961491056e-07
110, -2602.7287553548813, 3, 6.337826435046736, 138, 26668, 51668, 12.257739067077637, 51.92874526977539, 2.2470983136715233e-07
111, -3210.2457749843597, 3, 10.928988669998944, 233, 26901, 51901, 12.647903442382812, 53.140663146972656, 9.502163316750731e-08
112, -2587.2209684848785, 3, 6.723198634979781, 142, 27043, 52043, 12.714067459106445, 53.34455108642578, 1.7509889185533556e-07
113, -2873.9085648059845, 3, 9.346345730999019, 202, 27245, 52245, 12.664897918701172, 53.200443267822266, 2.1886138134811185e-07
114, -2707.508112668991, 3, 10.747232324967626, 228, 27473, 52473, 12.445863723754883, 53.97422790527344, 1.4672823773141494e-07
115, -2468.2516469955444, 3, 6.337570102012251, 138, 27611, 52611, 12.884367942810059, 53.879337310791016, 2.3483332462500836e-07
116, -3868.33003950119, 2, 17.744626995001454, 383, 27994, 52994, 12.341948509216309, 53.96169662475586, 1.3056647047089223e-07
117, -2784.593318939209, 3, 7.12180158495903, 150, 28144, 53144, 12.848308563232422, 54.80299377441406, 1.8391331347326437e-07
118, -2581.297769546509, 3, 9.128120792971458, 194, 28338, 53338, 12.258123397827148, 54.32477569580078, 1.1124234099286734e-07
119, -2581.456442832947, 3, 6.321788029046729, 131, 28469, 53469, 11.909461975097656, 54.76799774169922, 1.530079455434821e-07
120, -2399.4798823595047, 3, 5.960177433036733, 129, 28598, 53598, 11.961447715759277, 55.004024505615234, 2.0411621793642525e-07
121, -2433.3543840646744, 3, 6.096488139999565, 124, 28722, 53722, 12.42591381072998, 56.009254455566406, 2.42193627561773e-07
122, -2931.124916791916, 3, 10.753730864962563, 239, 28961, 53961, 12.515379905700684, 55.580955505371094, 7.860664527660633e-08
123, -2693.709807395935, 3, 6.316523625981063, 136, 29097, 54097, 11.511795043945312, 54.61617660522461, 1.2838983606985387e-07
124, -3100.533711910248, 3, 11.335373506008182, 249, 29346, 54346, 12.856624603271484, 55.24037551879883, 1.744658921856478e-07
125, 2387.0476182699203, 1, 5.516314908978529, 120, 29466, 54466, 12.688156127929688, 55.6684684753418, 2.2699144513656696e-07
126, -2822.9936122894287, 3, 2.1286659379838966, 45, 29511, 54511, 12.5275297164917, 56.0807991027832, 4.997554545601209e-07
127, -2464.560912966728, 3, 6.116737995005678, 133, 29644, 54644, 12.215913772583008, 56.56181335449219, 1.5228568345196265e-07
128, -5203.45267033577, 2, 18.552026566991117, 414, 30058, 55058, 12.670954704284668, 56.6082649230957, 5.735760410698716e-08
129, -3133.4983909130096, 2, 12.751594870002009, 288, 30346, 55346, 12.539336204528809, 57.56119155883789, 8.318056643474847e-08
130, -2625.55340385437, 3, 6.11920125602046, 134, 30480, 55480, 12.55691146850586, 56.83992004394531, 1.7825357699349744e-07
131, -3417.5201494693756, 2, 14.74056827503955, 323, 30803, 55803, 12.685214042663574, 58.31431579589844, 1.6865642718255705e-07
132, -5937.015180587769, 3, 27.97298735595541, 624, 31427, 56427, 13.06778621673584, 59.024776458740234, 3.3129860336581864e-08
133, -2154.6427258849144, 1, 41.0077869159868, 913, 32340, 57340, 12.953768730163574, 59.7275276184082, 2.662104739106759e-08
134, -2632.420029401779, 3, 5.315454782976303, 112, 32452, 57452, 13.405062675476074, 60.46196365356445, 2.725085193690445e-07
135, -3522.6693530082703, 2, 15.94811421300983, 351, 32803, 57803, 12.722162246704102, 60.199554443359375, 6.068952944119092e-08
136, -3779.3655228614807, 2, 16.54638191399863, 367, 33170, 58170, 12.903549194335938, 61.25774383544922, 5.7471421235101423e-08
137, -2428.5978845357895, 3, 6.542277410044335, 133, 33303, 58303, 13.59564208984375, 62.4871711730957, 1.5124057146503512e-07
138, -2754.3933176994324, 3, 8.943973029963672, 196, 33499, 58499, 13.480530738830566, 61.56360626220703, 1.4966318136727322e-07
139, -5118.312860965729, 2, 20.350336330011487, 446, 33945, 58945, 12.823210716247559, 61.998817443847656, 5.653138468751993e-08
140, -4067.8688925504684, 3, 25.990807452995796, 579, 34524, 59524, 13.12869644165039, 62.00941848754883, 4.463039727846164e-08
141, -3272.391548037529, 2, 14.334815582027659, 311, 34835, 59835, 13.027366638183594, 63.71388244628906, 1.4394848125348905e-07
142, -3413.6974279880524, 2, 12.758644183981232, 278, 35113, 60113, 13.313780784606934, 63.60310745239258, 1.0802881229374049e-07
143, -3290.077180981636, 2, 16.143016528978478, 354, 35467, 60467, 13.111420631408691, 64.37885284423828, 5.248029016505527e-08
144, -2527.1204328536987, 3, 6.32078107399866, 135, 35602, 60602, 13.740269660949707, 64.95677185058594, 1.59340669159536e-07
145, -3328.178099513054, 2, 14.141920209978707, 310, 35912, 60912, 13.19601821899414, 64.27997589111328, 6.510958736461977e-08
146, -2819.300040245056, 3, 8.94101726898225, 197, 36109, 61109, 13.255285263061523, 65.55211639404297, 9.146698651277474e-08
147, -2379.1443279981613, 3, 6.11709668795811, 131, 36240, 61240, 13.320125579833984, 65.0833740234375, 1.5248096626223498e-07
148, -2981.080189228058, 3, 9.12783433397999, 196, 36436, 61436, 12.949795722961426, 65.24718475341797, 1.6569374936955925e-07
149, -3269.0425236821175, 3, 19.37194789602654, 427, 36863, 61863, 13.190357208251953, 65.29631042480469, 7.147546334135448e-08
150, -2785.9333832263947, 3, 8.926951037021354, 191, 37054, 62054, 13.358214378356934, 66.2050552368164, 1.1993734244042666e-07
151, -4056.7499235868454, 2, 22.962682176963426, 502, 37556, 62556, 13.112565040588379, 66.43118286132812, 4.883472013669423e-08
152, -2524.0633838176727, 3, 6.141899865004234, 133, 37689, 62689, 13.83337688446045, 67.62269592285156, 2.221278741227505e-07
153, -2576.2849473953247, 3, 6.316675742971711, 134, 37823, 62823, 13.546006202697754, 66.61396789550781, 1.5219435471096145e-07
154, -3738.5506043434143, 2, 14.7593416509917, 325, 38148, 63148, 13.39417552947998, 67.86080169677734, 6.898163029780754e-08
155, -3277.5436446666718, 2, 15.743593718041666, 342, 38490, 63490, 13.50344181060791, 68.70734405517578, 6.5146286410895e-08
156, -3873.8607808947563, 3, 20.758287147968076, 456, 38946, 63946, 13.652173042297363, 68.71163177490234, 6.585967065276283e-08
157, -2509.5811198949814, 3, 6.338682014029473, 135, 39081, 64081, 13.719084739685059, 69.08344268798828, 1.3451100568528528e-07
158, -3776.1890919208527, 2, 15.942575646971818, 343, 39424, 64424, 13.128952980041504, 68.6061019897461, 6.943444229944802e-08
159, 2393.087356567383, 1, 3.7111362089635804, 78, 39502, 64502, 13.487099647521973, 70.94696807861328, 3.0085898171632715e-07
160, -4597.017387628555, 2, 13.757129643985536, 299, 39801, 64801, 13.041254043579102, 68.94964599609375, 6.283273652544788e-08
161, -3092.415184855461, 2, 12.73464999301359, 274, 40075, 65075, 13.82521915435791, 70.88890838623047, 8.080285518382587e-08
162, 2315.570227265358, 1, 6.137946776987519, 133, 40208, 65208, 13.75236701965332, 71.63284301757812, 1.5070663653034017e-07
163, -3808.9250804185867, 2, 16.942923858005088, 367, 40575, 65575, 13.509315490722656, 71.35234832763672, 1.0942770624964698e-07
164, -3198.918999016285, 3, 18.152191634988412, 394, 40969, 65969, 13.688817024230957, 72.16533660888672, 5.920561205425541e-08
165, -2407.543523311615, 3, 6.520899136026856, 138, 41107, 66107, 13.617920875549316, 72.63379669189453, 1.9028970121365527e-07
166, -4470.6421592235565, 2, 14.761532061034814, 321, 41428, 66428, 13.258418083190918, 72.5287094116211, 1.1901254403024819e-07
167, -2711.519471168518, 3, 9.321846814011224, 196, 41624, 66624, 14.384303092956543, 73.39885711669922, 1.0511739303034788e-07
168, -2674.593638896942, 3, 7.125030205992516, 150, 41774, 66774, 14.409732818603516, 72.99916076660156, 3.11960078155001e-07
169, -2787.623172044754, 3, 9.348294575989712, 203, 41977, 66977, 14.011615753173828, 73.6893310546875, 9.66797706675647e-08
170, -3834.9094071388245, 2, 17.950823090039194, 386, 42363, 67363, 14.05925178527832, 73.14579772949219, 4.9756541896437735e-08
171, -3038.2527470588684, 3, 10.151744401955511, 218, 42581, 67581, 13.733439445495605, 73.57707977294922, 2.060001160641876e-07
172, -4891.271453499794, 2, 27.57370850199368, 593, 43174, 68174, 14.062873840332031, 74.39801788330078, 3.957335678562145e-08
173, -3737.95858001709, 2, 15.96310007298598, 345, 43519, 68519, 13.717171669006348, 75.3837890625, 5.587243704476218e-08
174, -3179.648525118828, 3, 10.732427734008525, 228, 43747, 68747, 13.830218315124512, 75.4687728881836, 8.393417055342804e-08
175, -4057.550318002701, 2, 22.782713029999286, 484, 44231, 69231, 14.137211799621582, 76.27550506591797, 3.7663242941306644e-08
176, -2674.449161171913, 3, 7.139113080047537, 151, 44382, 69382, 13.785770416259766, 76.26348114013672, 1.2996691334622585e-07
177, 2391.341436088085, 1, 5.113704924995545, 106, 44488, 69488, 14.25290298461914, 75.22065734863281, 1.6735855683262617e-07
178, -4319.524154961109, 4, 49.227381058968604, 1066, 45554, 70554, 14.206485748291016, 77.54643249511719, 2.201407183290199e-08
179, -2607.9234721660614, 3, 6.322512536018621, 132, 45686, 70686, 14.130762100219727, 78.67916107177734, 4.4868184803900396e-07
180, -4820.778427600861, 2, 18.154243619006593, 387, 46073, 71073, 14.048288345336914, 78.9158706665039, 4.72816166970927e-08
181, -4201.524311006069, 3, 27.976046606025193, 603, 46676, 71676, 13.713025093078613, 78.86910247802734, 3.324207659829315e-08
182, -2796.397262573242, 3, 6.556450190022588, 143, 46819, 71819, 14.375228881835938, 80.42874908447266, 1.2258777616324124e-07
183, -2830.0515072345734, 3, 6.7064673389540985, 141, 46960, 71960, 14.64879035949707, 82.54122161865234, 1.6147548213918158e-07
184, -2563.7457523345947, 3, 6.317257396993227, 129, 47089, 72089, 13.521932601928711, 79.76679229736328, 1.4672842771970023e-07
185, 2401.876081109047, 1, 3.3328830350073986, 69, 47158, 72158, 14.613454818725586, 79.58563232421875, 3.451596189668213e-07
186, -2423.2559146881104, 3, 3.1135070080053993, 60, 47218, 72218, 14.546655654907227, 78.63619232177734, 3.899505827575922e-07
187, -2475.2900290489197, 3, 6.322042509971652, 132, 47350, 72350, 14.087589263916016, 82.01508331298828, 1.449772036831939e-07
188, -2917.577513217926, 3, 8.948171640979126, 191, 47541, 72541, 14.602272987365723, 81.70339965820312, 9.800006357553118e-08
189, -2392.347013950348, 3, 6.3186264160322025, 132, 47673, 72673, 13.912134170532227, 80.50018310546875, 1.9577264813988499e-07
190, -2751.536807537079, 3, 9.127599797036964, 195, 47868, 72868, 14.6166353225708, 83.01905059814453, 9.419492039925012e-08
191, -4895.742072463036, 3, 29.783190249989275, 636, 48504, 73504, 14.585841178894043, 81.58708953857422, 2.833175525631545e-08
192, -2713.5090136528015, 3, 6.535869917017408, 136, 48640, 73640, 14.532631874084473, 82.37007141113281, 1.5457386753576643e-07
193, -4385.944490194321, 3, 24.78366138000274, 515, 49155, 74155, 14.426465034484863, 82.22663879394531, 4.6786413645570716e-08
194, -2413.750699520111, 3, 6.138227205025032, 129, 49284, 74284, 14.531572341918945, 83.6636734008789, 1.5809290948533273e-07
195, -2799.2939257621765, 3, 6.718330200994387, 139, 49423, 74423, 13.775782585144043, 81.84105682373047, 1.2963306721594693e-07
196, -3711.552299141884, 2, 14.56305496499408, 309, 49732, 74732, 14.665022850036621, 84.71174621582031, 5.89935585229528e-08
197, -2680.5146865844727, 3, 6.541593675967306, 133, 49865, 74865, 14.655702590942383, 85.27574920654297, 3.450077475237667e-07
198, 1368.8322703242302, 1, 19.774067647987977, 425, 50290, 75290, 14.576071739196777, 84.51242065429688, 9.301173336365644e-08
199, -2979.266459465027, 3, 2.306092319020536, 45, 50335, 75335, 15.535791397094727, 85.17440032958984, 6.022009377678236e-07
200, 2440.4741017520428, 1, 3.5340803069993854, 75, 50410, 75410, 14.5617036819458, 85.46338653564453, 4.581602600713571e-07
201, -3896.2556657791138, 2, 11.770161215041298, 249, 50659, 75659, 14.998835563659668, 85.5080337524414, 7.0964021750363e-08
202, -4140.7250354886055, 3, 32.20659879501909, 693, 51352, 76352, 14.969514846801758, 86.57148742675781, 6.520635519622896e-08
203, -2908.1413927674294, 3, 15.539590593019966, 327, 51679, 76679, 14.804061889648438, 86.44713592529297, 6.834558419176927e-08
204, -2504.1974560022354, 3, 9.329707343014888, 194, 51873, 76873, 15.153014183044434, 86.11854553222656, 9.540205619768383e-08
205, -4166.391915798187, 2, 17.972438362019602, 382, 52255, 77255, 14.933160781860352, 87.74639892578125, 4.643721857074043e-08
206, -2418.8382165431976, 3, 6.316965730045922, 128, 52383, 77383, 14.99191665649414, 89.18278503417969, 1.3967974155093543e-07
207, -2641.9478335380554, 3, 6.318561376945581, 130, 52513, 77513, 15.166810035705566, 87.594482421875, 1.568768101815994e-07
208, -3408.815804719925, 3, 9.948342508985661, 215, 52728, 77728, 15.222471237182617, 88.61050415039062, 1.0135334504898204e-07
209, -4257.282008647919, 2, 17.74763898103265, 379, 53107, 78107, 15.286234855651855, 88.39282989501953, 4.6622800569499706e-08
210, -2762.4732046723366, 3, 7.343385402986314, 155, 53262, 78262, 15.33887004852295, 89.97530364990234, 1.392387334377535e-07
