episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
182, -3952.4233922958374, 2, 28, 315, 22500, 47500, 13.263496398925781, 24.331918716430664
183, -2497.568971633911, 2, 13, 157, 22657, 47657, 13.16277027130127, 24.457632064819336
184, -2396.9344186782837, 2, 4, 59, 22716, 47716, 12.848640441894531, 24.393171310424805
185, -2974.3267121315002, 2, 15, 171, 22887, 47887, 13.403714179992676, 24.60595703125
186, 2449.056125342846, 1, 4, 48, 22935, 47935, 12.495708465576172, 24.7033634185791
187, -2343.177991628647, 3, 5, 63, 22998, 47998, 12.918794631958008, 24.706941604614258
188, -2745.1864507198334, 3, 9, 107, 23105, 48105, 12.705166816711426, 24.83696746826172
189, -3495.0672314167023, 2, 12, 138, 23243, 48243, 13.149430274963379, 24.92316436767578
190, -2174.7634625434875, 2, 4, 54, 23297, 48297, 12.05949592590332, 24.649742126464844
191, -2599.4777324199677, 2, 10, 115, 23412, 48412, 12.975936889648438, 25.047422409057617
192, -3277.2085715532303, 2, 17, 198, 23610, 48610, 12.98139476776123, 25.13950538635254
193, -3126.2035979032516, 2, 21, 242, 23852, 48852, 12.96113109588623, 25.06708526611328
194, -2479.690484046936, 3, 9, 108, 23960, 48960, 13.04548454284668, 25.137149810791016
195, -2638.2545919418335, 2, 9, 113, 24073, 49073, 13.057007789611816, 25.3654727935791
196, -2276.543623685837, 2, 4, 50, 24123, 49123, 13.510580062866211, 25.411474227905273
197, -2884.725695490837, 2, 21, 245, 24368, 49368, 12.783429145812988, 25.336185455322266
198, -2527.3677673339844, 2, 9, 105, 24473, 49473, 12.382644653320312, 25.453113555908203
199, -3296.5839443206787, 2, 15, 167, 24640, 49640, 13.535951614379883, 25.83314323425293
200, -2814.718159675598, 2, 15, 173, 24813, 49813, 12.793001174926758, 25.707576751708984
201, -2300.0001072883606, 2, -1, 103, 24916, 49916, 12.416831016540527, 25.974626541137695
202, -2450.2583150863647, 3, 9, 105, 25021, 50021, 13.251280784606934, 25.771467208862305
203, -2786.9894647598267, 2, 18, 205, 25226, 50226, 12.995558738708496, 25.90923500061035
204, -2514.690003633499, 2, 9, 106, 25332, 50332, 13.286977767944336, 26.334815979003906
205, -2516.4616525173187, 2, 9, 116, 25448, 50448, 12.421027183532715, 26.193376541137695
206, -2410.687355518341, 2, 5, 60, 25508, 50508, 13.050458908081055, 26.336828231811523
207, -2616.531679868698, 2, 9, 107, 25615, 50615, 13.030752182006836, 26.332639694213867
208, -2838.3493896722794, 2, 16, 183, 25798, 50798, 12.947405815124512, 26.417171478271484
209, 2444.0537007451057, 1, 4, 47, 25845, 50845, 14.048210144042969, 26.799949645996094
210, -2269.5815482139587, 2, 4, 40, 25885, 50885, 11.839492797851562, 26.153400421142578
211, -2605.7166234254837, 2, 18, 203, 26088, 51088, 12.984960556030273, 26.549962997436523
212, -2410.339825630188, 2, -12, 92, 26180, 51180, 13.140034675598145, 26.50971031188965
213, -2500.3598594665527, 2, 10, 116, 26296, 51296, 13.094269752502441, 26.68375587463379
214, -2338.5841994285583, 2, 6, 69, 26365, 51365, 12.02006721496582, 26.33798599243164
215, -2254.912975549698, 2, 4, 52, 26417, 51417, 12.894352912902832, 26.978853225708008
216, -2400.2208001613617, 2, 6, 68, 26485, 51485, 12.970723152160645, 27.25008773803711
217, -2321.1275569200516, 2, 5, 62, 26547, 51547, 13.429703712463379, 27.05084800720215
218, -2523.942996263504, 2, 5, 58, 26605, 51605, 13.169222831726074, 27.074302673339844
219, -3302.279600381851, 2, 17, 200, 26805, 51805, 13.234148979187012, 27.135669708251953
220, -2385.99932718277, 2, 9, 107, 26912, 51912, 12.784948348999023, 26.998573303222656
221, -2501.3027007579803, 2, 9, 105, 27017, 52017, 12.879241943359375, 27.161300659179688
222, -2314.275970220566, 2, 5, 59, 27076, 52076, 13.360061645507812, 27.22854232788086
223, -2901.0766954421997, 2, 18, 205, 27281, 52281, 13.293035507202148, 27.464248657226562
224, -4017.5669818520546, 2, 29, 336, 27617, 52617, 12.8025541305542, 27.399553298950195
225, -2310.776460170746, 2, 5, 58, 27675, 52675, 13.194826126098633, 27.93842887878418
226, -2628.4046325683594, 2, 4, 118, 27793, 52793, 12.211745262145996, 27.598251342773438
227, -3836.478577852249, 2, 18, 205, 27998, 52998, 12.891497611999512, 27.743181228637695
228, -2379.008245587349, 2, 5, 70, 28068, 53068, 12.615344047546387, 27.75663948059082
229, -2356.2187762260437, 2, 5, 57, 28125, 53125, 12.56200122833252, 27.97260284423828
230, -2284.196160554886, 2, -2, 56, 28181, 53181, 12.669966697692871, 27.96212387084961
231, -2680.290446281433, 2, 9, 110, 28291, 53291, 13.350398063659668, 28.224538803100586
232, -2328.1559801101685, 2, 4, 55, 28346, 53346, 12.62271499633789, 28.275014877319336
233, -2473.3096685409546, 3, 9, 109, 28455, 53455, 12.79916000366211, 28.255752563476562
234, -2310.743463039398, 2, 5, 59, 28514, 53514, 13.214152336120605, 28.517961502075195
235, -2423.781145095825, 2, 5, 67, 28581, 53581, 13.206896781921387, 28.259815216064453
236, -2493.3392009735107, 3, 8, 101, 28682, 53682, 12.494989395141602, 28.288558959960938
