episode, reward, success, duration, n_steps, epsilon, success_count, memory length, avg_critic_loss, avg_actor_loss
117, 12653.06801828742, True, 8.959084033966064, 408, 0.8904235427767183, 0, 61900, 22.77211570739746, 10817.5302734375
118, -12174.73697460536, False, 3.4752936363220215, 161, 0.8895331192339416, 0, 62060, 19.282594680786133, 10961.6435546875
119, -10412.572349553928, False, 5.411438941955566, 256, 0.8886435861147077, 0, 62315, 24.506019592285156, 11394.712890625
120, -22141.68247008114, False, 16.7931170463562, 828, 0.887754942528593, 0, 63142, 24.228376388549805, 11269.8232421875
121, -10741.56810150412, False, 5.722086668014526, 286, 0.8868671875860644, 0, 63427, 21.148645401000977, 11970.4287109375
122, -10995.189125090837, False, 3.679875612258911, 173, 0.8859803203984784, 0, 63599, 22.538896560668945, 11726.1767578125
123, -13523.578100448125, False, 15.531041622161865, 751, 0.88509434007808, 0, 64349, 25.19594955444336, 11889.4912109375
124, -10709.67493201462, False, 5.4165332317352295, 262, 0.8842092457380019, 0, 64610, 23.291732788085938, 11687.1884765625
125, -10406.986844440922, False, 9.438186883926392, 458, 0.8833250364922639, 0, 65067, 20.255657196044922, 12137.78515625
126, 12659.33671952784, True, 8.834184646606445, 432, 0.8824417114557717, 0, 65498, 23.724082946777344, 11995.2421875
127, -12688.485448732972, False, 3.7379343509674072, 176, 0.8815592697443159, 0, 65673, 23.69670867919922, 12384.83203125
128, -10276.656645160867, False, 11.77754020690918, 571, 0.8806777104745716, 0, 66243, 24.90562629699707, 12176.4619140625
129, -10607.053530496312, False, 3.5048582553863525, 166, 0.8797970327640969, 0, 66408, 25.658750534057617, 11996.6845703125
130, -12232.046051344194, False, 11.123704195022583, 520, 0.8789172357313328, 0, 66927, 22.07353401184082, 12009.6904296875
131, -10703.877259918372, False, 7.007793664932251, 329, 0.8780383184956015, 0, 67255, 21.931692123413086, 12446.6943359375
132, -11211.776230132207, False, 9.985867261886597, 474, 0.8771602801771059, 0, 67728, 25.23613166809082, 12177.576171875
133, -10810.60475846217, False, 6.585731029510498, 312, 0.8762831198969288, 0, 68039, 22.757158279418945, 11754.9248046875
134, -20615.966650045593, False, 14.880256414413452, 717, 0.8754068367770318, 0, 68755, 25.480356216430664, 12403.5576171875
135, -16526.440022055427, False, 13.217697858810425, 644, 0.8745314299402548, 0, 69398, 22.572010040283203, 12903.91796875
136, -21936.058906735387, False, 20.428874731063843, 989, 0.8736568985103146, 0, 70386, 22.52774429321289, 13010.4033203125
137, -11191.895232542418, False, 6.901849269866943, 332, 0.8727832416118043, 0, 70717, 22.028799057006836, 13849.5966796875
138, -11192.48691423051, False, 6.975754261016846, 324, 0.8719104583701925, 0, 71040, 22.206321716308594, 14123.9951171875
139, -10695.130558258854, False, 4.091932535171509, 166, 0.8710385479118223, 0, 71205, 24.180002212524414, 14068.7587890625
140, -10759.098063427955, False, 5.275548458099365, 210, 0.8701675093639105, 0, 71414, 21.66631317138672, 13795.6572265625
141, -10257.544491678476, False, 5.265698194503784, 215, 0.8692973418545467, 0, 71628, 20.11713981628418, 14072.4775390625
