episode, reward, success, duration, n_steps, success_count, memory length, avg_critic_loss, avg_actor_loss
113, -732.2948039770126, False, 10.756861209869385, 497, 0, 51124, 0.4498218595981598, 2030.502685546875
114, -722.1739683151245, False, 10.81619906425476, 497, 0, 51620, 0.46053817868232727, 2028.29052734375
115, -707.8269053697586, False, 10.664389848709106, 497, 0, 52116, 0.40036556124687195, 2027.5079345703125
116, -1012.5318869352341, False, 10.600082635879517, 497, 0, 52612, 0.45120570063591003, 2030.0379638671875
117, -660.1643978953362, False, 10.823030710220337, 497, 0, 53108, 0.47130295634269714, 2028.0076904296875
118, -982.1401093006134, False, 10.60446834564209, 497, 0, 53604, 0.38933873176574707, 2036.035888671875
119, -604.0652350187302, False, 10.733592748641968, 497, 0, 54100, 0.42610791325569153, 2033.0765380859375
120, -1175.8168448209763, False, 8.186296939849854, 378, 0, 54477, 0.39052048325538635, 2031.0545654296875
121, -636.7234542369843, False, 10.768837690353394, 497, 0, 54973, 0.39757856726646423, 2033.9022216796875
122, -1031.938383102417, False, 8.346852779388428, 386, 0, 55358, 0.3943941593170166, 2030.1282958984375
123, -653.6756743192673, False, 10.776477813720703, 497, 0, 55854, 0.4022318124771118, 2024.6212158203125
124, -581.560171186924, False, 10.904326438903809, 497, 0, 56350, 0.4341614544391632, 2021.56201171875
125, -1071.7560260295868, False, 9.050133228302002, 409, 0, 56758, 0.36993736028671265, 2015.218017578125
126, -1296.3327376842499, False, 9.44254207611084, 433, 0, 57190, 0.4515511393547058, 2011.0802001953125
127, -620.1024103164673, False, 10.787909746170044, 497, 0, 57686, 0.33864736557006836, 2017.654296875
128, -999.3574078679085, False, 8.559573411941528, 392, 0, 58077, 0.3927459418773651, 2010.0203857421875
129, -960.4525067806244, False, 10.958626985549927, 497, 0, 58573, 0.4916018843650818, 2012.30859375
130, -600.945566534996, False, 10.937227487564087, 497, 0, 59069, 0.3891870677471161, 2015.5665283203125
131, -496.23152059316635, False, 11.063278198242188, 497, 0, 59565, 0.46821171045303345, 2010.752197265625
132, -860.029874920845, False, 10.825539588928223, 497, 0, 60061, 0.4059029519557953, 2003.62109375
133, -812.8888045549393, False, 11.015031576156616, 497, 0, 60557, 0.37969598174095154, 2005.888916015625
134, -659.3173543810844, False, 10.883600234985352, 497, 0, 61053, 0.4274643361568451, 1999.4986572265625
135, -1094.8720626831055, False, 9.414390802383423, 421, 0, 61473, 0.5122772455215454, 2000.9478759765625
136, -720.1216083168983, False, 10.966480493545532, 497, 0, 61969, 0.4538644254207611, 1999.1614990234375
137, -621.881700694561, False, 11.159249305725098, 497, 0, 62465, 0.36561688780784607, 1998.4207763671875
138, 158.47490924596786, True, 7.335357904434204, 333, 0, 62797, 0.3978636562824249, 1986.3355712890625
139, -905.6627660989761, False, 11.0643310546875, 497, 0, 63293, 0.3979015350341797, 1992.9168701171875
140, -559.9484585523605, False, 11.050585746765137, 497, 0, 63789, 0.3784557580947876, 1990.4373779296875
141, -664.4376153349876, False, 11.03568434715271, 497, 0, 64285, 0.46938958764076233, 1981.99658203125
142, -641.3098037242889, False, 11.099272727966309, 497, 0, 64781, 0.38851481676101685, 1982.294189453125
143, -500.726405441761, False, 11.154993772506714, 497, 0, 65277, 0.380234956741333, 1978.9678955078125
144, -1158.2231982946396, False, 8.162699937820435, 356, 0, 65632, 0.4493809938430786, 1975.991943359375
145, -514.0490155816078, False, 11.20003628730774, 497, 0, 66128, 0.49848490953445435, 1982.4765625
146, -547.0880995392799, False, 11.437221765518188, 497, 0, 66624, 0.44886910915374756, 1978.2296142578125
147, -960.2102444171906, False, 8.993597269058228, 404, 0, 67027, 0.3065817952156067, 1967.48779296875
148, -1318.381327033043, False, 9.799324750900269, 443, 0, 67469, 0.3446923494338989, 1964.1844482421875
149, -1270.65997672081, False, 9.4649338722229, 419, 0, 67887, 0.3852607309818268, 1974.431640625
150, -990.4305773973465, False, 11.086063861846924, 497, 0, 68383, 0.3468649089336395, 1983.9715576171875
151, -964.1726098060608, False, 10.055992603302002, 440, 0, 68822, 0.3917764127254486, 1978.9381103515625
152, -642.7128261327744, False, 11.174875974655151, 497, 0, 69318, 0.3415261209011078, 1971.0826416015625
153, -704.1792070865631, False, 11.457524299621582, 497, 0, 69814, 0.3794800639152527, 1971.1142578125
154, -622.3478512167931, False, 11.187574863433838, 497, 0, 70310, 0.46920332312583923, 1974.24267578125
155, -995.7988123297691, False, 10.420041561126709, 457, 0, 70766, 0.3829658627510071, 1965.780029296875
156, -1409.0468212366104, False, 11.02834153175354, 478, 0, 71243, 0.3611133098602295, 1965.4495849609375
157, -570.1731940507889, False, 11.617239236831665, 497, 0, 71739, 0.4755147099494934, 1967.0093994140625
158, -1316.0933269262314, False, 9.23573923110962, 414, 0, 72152, 0.3904240131378174, 1971.52490234375
159, -619.113617002964, False, 11.338804483413696, 497, 0, 72648, 0.4761616587638855, 1965.0498046875
160, -1279.706460237503, False, 8.952521324157715, 401, 0, 73048, 0.45386022329330444, 1965.0726318359375
161, -817.5004737377167, False, 11.240978240966797, 497, 0, 73544, 0.4788700044155121, 1969.4266357421875
162, -1331.9340903759003, False, 10.367996215820312, 461, 0, 74004, 0.4752068817615509, 1979.3115234375
163, -972.9598893523216, False, 9.035090446472168, 392, 0, 74395, 0.3930559754371643, 1968.3275146484375
164, -574.6296989917755, False, 11.301518440246582, 497, 0, 74891, 0.42662039399147034, 1969.952392578125
165, -650.746398806572, False, 11.54942536354065, 497, 0, 75387, 0.3851012587547302, 1968.0836181640625
166, -520.4620653986931, False, 11.32024073600769, 497, 0, 75883, 0.4361070692539215, 1968.78662109375
167, -910.0729885697365, False, 9.3807053565979, 403, 0, 76285, 0.3822990357875824, 1957.0164794921875
168, -488.6364796757698, False, 11.501330614089966, 497, 0, 76781, 0.4133235812187195, 1955.7904052734375
169, -496.8628541827202, False, 11.54911470413208, 497, 0, 77277, 0.404354453086853, 1955.1375732421875
170, -665.4488635063171, False, 11.34552264213562, 497, 0, 77773, 0.3854175806045532, 1951.1822509765625
171, 273.30329513549805, True, 7.177656173706055, 311, 0, 78083, 0.4489963948726654, 1945.7701416015625
172, -866.8961324095726, False, 6.707833528518677, 292, 0, 78374, 0.37310752272605896, 1941.8031005859375
173, -524.06528621912, False, 11.560755729675293, 497, 0, 78870, 0.4093720614910126, 1935.0667724609375
174, -521.7913615703583, False, 11.457635641098022, 497, 0, 79366, 0.42526888847351074, 1936.2392578125
175, -779.2887591123581, False, 11.478788137435913, 497, 0, 79862, 0.43899285793304443, 1933.516845703125
176, -879.2590047121048, False, 9.991392612457275, 425, 0, 80286, 0.3985922336578369, 1929.67578125
177, -676.2857811450958, False, 12.050689935684204, 497, 0, 80782, 0.4199388921260834, 1932.3321533203125
178, -426.94975459575653, False, 11.478652238845825, 497, 0, 81278, 0.3129017949104309, 1922.556884765625
179, -675.6727176904678, False, 11.501056671142578, 497, 0, 81774, 0.40820232033729553, 1923.982177734375
180, -689.9405300617218, False, 11.613398551940918, 497, 0, 82270, 0.3595414161682129, 1920.265380859375
181, -784.566203892231, False, 9.072822093963623, 389, 0, 82658, 0.33702608942985535, 1919.9505615234375
182, -688.5395424365997, False, 11.520432233810425, 497, 0, 83154, 0.3510443866252899, 1917.11376953125
183, -777.0256675481796, False, 9.355153560638428, 399, 0, 83552, 0.39331918954849243, 1912.6627197265625
184, -618.5482358932495, False, 11.548266172409058, 497, 0, 84048, 0.43887263536453247, 1918.1248779296875
185, 237.5476240515709, True, 7.677502155303955, 331, 0, 84378, 0.32908686995506287, 1912.214111328125
186, -808.880941927433, False, 5.81215500831604, 241, 0, 84618, 0.4249713122844696, 1907.534912109375
187, -611.4630736708641, False, 11.478583574295044, 497, 0, 85114, 0.3286912143230438, 1909.802490234375
188, -483.9422120451927, False, 11.739750385284424, 497, 0, 85610, 0.3447106182575226, 1903.4114990234375
189, -1016.7948181033134, False, 11.478180885314941, 496, 0, 86105, 0.4419132173061371, 1897.0181884765625
190, -560.0506753921509, False, 11.682800531387329, 497, 0, 86601, 0.3534185588359833, 1899.68359375
191, -610.4178876280785, False, 11.920461416244507, 497, 0, 87097, 0.46294474601745605, 1894.5858154296875
192, -424.36943608522415, False, 11.720994234085083, 497, 0, 87593, 0.36646807193756104, 1889.9771728515625
193, -1337.316365122795, False, 9.961546182632446, 421, 0, 88013, 0.41852983832359314, 1887.396728515625
194, -503.79233080148697, False, 11.716956853866577, 497, 0, 88509, 0.384175568819046, 1892.0274658203125
195, -458.29728120565414, False, 11.606067419052124, 497, 0, 89005, 0.4126710593700409, 1886.75244140625
196, -1005.4972818493843, False, 8.291781902313232, 352, 0, 89356, 0.4655716121196747, 1878.0450439453125
197, -522.4187232851982, False, 11.868253469467163, 497, 0, 89852, 0.3953491747379303, 1880.054443359375
198, -832.5086511969566, False, 9.086291551589966, 383, 0, 90234, 0.48806631565093994, 1878.1212158203125
199, -1147.879884839058, False, 10.363293886184692, 432, 0, 90665, 0.4829946756362915, 1877.4910888671875
200, -525.9465670585632, False, 11.740573167800903, 497, 0, 91161, 0.38540172576904297, 1874.1898193359375
201, -746.3310822248459, False, 11.72286081314087, 497, 0, 91657, 0.3600023686885834, 1874.0157470703125
202, -851.6051762700081, False, 16.603691339492798, 697, 0, 92353, 0.40461331605911255, 1873.761962890625
203, -1198.6500195264816, False, 11.389505624771118, 490, 0, 92842, 0.40658798813819885, 1873.3944091796875
204, -962.1890125870705, False, 9.248024225234985, 396, 0, 93237, 0.47337451577186584, 1866.1175537109375
