episode, reward, success, duration, n_steps, epsilon, success_count, memory length, avg_critic_loss, avg_actor_loss
14066, 5093.663718342781, True, 15.805311441421509, 889, 0.04996170339735633, 0, 100000, 37.4818000793457, -190951.234375
14067, 5731.290457308292, True, 16.345404863357544, 919, 0.04996170339735633, 0, 100000, 35.653141021728516, -189077.8125
14068, 3585.245258960873, True, 28.020236015319824, 1607, 0.04996170339735633, 0, 100000, 36.842445373535156, -186730.4375
14069, -11047.591176748276, False, 1.3895483016967773, 70, 0.04996170339735633, 0, 100000, 35.65586853027344, -183634.09375
14070, -12397.263946004212, False, 36.29981350898743, 1998, 0.04996170339735633, 0, 100000, 37.24234390258789, -182631.484375
14071, 8959.819331526756, True, 9.195071458816528, 533, 0.04996170339735633, 0, 100000, 37.12761688232422, -178716.875
14072, 8896.268061056733, True, 9.513973236083984, 498, 0.04996170339735633, 0, 100000, 37.652183532714844, -180071.46875
14073, 5051.632121577859, True, 22.613192796707153, 1248, 0.04996170339735633, 0, 100000, 38.05344009399414, -178837.453125
14074, 6526.751648329198, True, 17.864083766937256, 1006, 0.04996170339735633, 0, 100000, 38.01816177368164, -176441.484375
14075, 8561.134562386142, True, 12.694705486297607, 695, 0.04996170339735633, 0, 100000, 37.003482818603516, -174753.0
14076, 9212.997933506966, True, 9.57387661933899, 506, 0.04996170339735633, 0, 100000, 36.6141471862793, -173792.4375
14077, 5961.498372673988, True, 13.747875213623047, 732, 0.04996170339735633, 0, 100000, 36.10419845581055, -174767.703125
14078, 7299.410673201084, True, 12.329070568084717, 665, 0.04996170339735633, 0, 100000, 38.293888092041016, -173073.65625
14079, -15654.854610975832, False, 18.856908559799194, 1041, 0.04996170339735633, 0, 100000, 36.61365509033203, -172167.484375
14080, 8723.099093005061, True, 10.850294828414917, 599, 0.04996170339735633, 0, 100000, 37.028778076171875, -170449.6875
14081, 1799.7621889263391, True, 24.378813982009888, 1350, 0.04996170339735633, 0, 100000, 37.52476501464844, -168028.4375
