episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
133, -2333.8028178215027, 2, -11, 54, 17065, 42065, 28.662397384643555, 95.21700286865234
134, -2335.232931137085, 2, 10, 78, 17143, 42143, 28.984725952148438, 94.60955810546875
135, -2361.7803587913513, 2, -10, 47, 17190, 42190, 29.83583641052246, 94.82006072998047
136, -2338.3158102035522, 2, 6, 52, 17242, 42242, 28.136791229248047, 95.67369079589844
137, -2411.410194158554, 2, -6, 52, 17294, 42294, 27.536376953125, 93.92346954345703
138, 2388.71581697464, 1, 11, 88, 17382, 42382, 28.558839797973633, 93.48684692382812
139, -3773.046232819557, 3, -11, 155, 17537, 42537, 28.808467864990234, 95.15198516845703
140, -2449.565259218216, 2, 10, 79, 17616, 42616, 29.99163818359375, 94.88040161132812
141, -2392.7774217128754, 3, -10, 88, 17704, 42704, 27.671886444091797, 95.47200012207031
142, -3659.4464995861053, 2, 48, 376, 18080, 43080, 28.418350219726562, 95.03902435302734
143, -2302.4641664028168, 2, -48, 43, 18123, 43123, 27.26576042175293, 95.35546875
144, -3639.3153064250946, 3, 27, 214, 18337, 43337, 28.559545516967773, 95.48383331298828
145, -2277.724013566971, 2, -27, 46, 18383, 43383, 28.879928588867188, 93.8307876586914
146, 2350.3227972984314, 1, 8, 66, 18449, 43449, 29.292438507080078, 95.31158447265625
147, -4816.641583204269, 4, -8, 623, 19072, 44072, 29.23214340209961, 95.6392593383789
148, -2314.941336274147, 2, 0, 48, 19120, 44120, 28.964731216430664, 96.20846557617188
149, -2328.4102331399918, 3, 10, 82, 19202, 44202, 28.139278411865234, 95.32768249511719
150, -2391.924990296364, 2, -3, 56, 19258, 44258, 30.142929077148438, 97.55875396728516
151, -2491.65453594923, 2, 4, 91, 19349, 44349, 29.721532821655273, 94.37911224365234
152, 2343.0856170654297, 1, -5, 54, 19403, 44403, 31.152530670166016, 92.88449096679688
153, -2603.6810694932938, 2, 21, 158, 19561, 44561, 29.153820037841797, 96.6966781616211
154, -2337.7406004071236, 2, -16, 86, 19647, 44647, 29.923030853271484, 97.63294982910156
155, -2342.2468333244324, 2, -5, 47, 19694, 44694, 27.100299835205078, 93.7527084350586
156, -2319.6362755298615, 2, -6, 76, 19770, 44770, 29.636394500732422, 97.7392807006836
157, -2805.8706961870193, 2, 11, 93, 19863, 44863, 30.280105590820312, 97.6087646484375
158, -3672.6570588946342, 2, -11, 260, 20123, 45123, 29.651052474975586, 96.7357177734375
159, -2432.075371980667, 3, 12, 95, 20218, 45218, 29.667545318603516, 95.4167251586914
160, 2395.1507692039013, 1, -3, 76, 20294, 45294, 29.996248245239258, 96.9079818725586
161, -2435.3261917829514, 3, 12, 88, 20382, 45382, 30.29766273498535, 95.98871612548828
162, -2358.3483525514603, 3, -21, 102, 20484, 45484, 29.723617553710938, 95.08218383789062
163, -2828.3618836402893, 3, 20, 159, 20643, 45643, 29.166107177734375, 95.490478515625
164, -2402.04010951519, 2, -11, 73, 20716, 45716, 29.399370193481445, 95.4223403930664
165, -2830.019158244133, 2, 17, 206, 20922, 45922, 30.167041778564453, 95.53656768798828
166, -2326.4583781957626, 3, -18, 64, 20986, 45986, 30.300769805908203, 96.66776275634766
