episode, reward, success, duration, n_steps, memory length, avg_critic_loss, avg_actor_loss
200, -14313.401978731155, 3, 42.386634349823, 717, 53726, 8.721831321716309, 5625.427734375
201, -3039.5982613563538, 3, 12.775654554367065, 222, 53943, 8.224693298339844, 5642.076171875
202, 2381.348991602659, 1, 7.052536249160767, 122, 54060, 9.63391399383545, 5593.07763671875
203, -4558.467050909996, 3, 23.47784185409546, 396, 54451, 7.84208869934082, 5793.931640625
204, 2322.3237372636795, 1, 6.8499674797058105, 119, 54565, 8.309557914733887, 5632.91015625
205, -2580.2986001968384, 3, 12.928567171096802, 219, 54779, 8.227402687072754, 5747.28662109375
206, -3836.791460096836, 3, 21.48208212852478, 363, 55137, 8.652567863464355, 5821.5537109375
207, 2294.5775743722916, 1, 7.93016242980957, 139, 55271, 6.205481052398682, 5622.65283203125
208, 1914.1286561489105, 1, 14.664795398712158, 251, 55517, 8.974431037902832, 5822.0654296875
209, 2284.294043779373, 1, 10.247836828231812, 175, 55687, 8.531782150268555, 5812.7666015625
210, -2462.4711810946465, 2, 5.6222124099731445, 98, 55780, 8.576253890991211, 5582.61865234375
211, 1657.3488380908966, 1, 16.81256079673767, 287, 56062, 8.515585899353027, 5797.455078125
212, -2655.358085989952, 3, 9.730241775512695, 166, 56223, 6.854897499084473, 5745.25341796875
213, 2086.449542939663, 1, 11.48600435256958, 197, 56415, 8.057146072387695, 5863.27197265625
214, -2664.8413393497467, 3, 9.695950508117676, 165, 56575, 9.133035659790039, 5843.482421875
215, -11786.776127934456, 2, 42.46438455581665, 709, 57279, 8.274026870727539, 6010.25537109375
216, 1572.8283670544624, 1, 24.697046995162964, 416, 57690, 8.50585651397705, 6109.708984375
217, -3441.569442987442, 2, 8.009681701660156, 138, 57823, 8.181926727294922, 6057.15966796875
218, -5464.246824026108, 3, 55.15829920768738, 926, 58744, 8.800585746765137, 6230.7177734375
219, 1961.1088423132896, 1, 13.31926703453064, 226, 58965, 8.848031044006348, 6224.97216796875
220, -2573.5650638341904, 3, 10.24807333946228, 174, 59134, 8.335408210754395, 6041.41650390625
221, -4036.2195378541946, 2, 24.85238766670227, 418, 59547, 7.817944526672363, 6265.7216796875
222, 2279.1846357584, 1, 8.821011304855347, 151, 59693, 7.753530502319336, 6134.28076171875
223, -4571.016259908676, 2, 16.700687408447266, 281, 59969, 9.516562461853027, 6278.40234375
224, 2102.592346906662, 1, 9.681384086608887, 165, 60129, 7.9729743003845215, 6243.24951171875
225, 1991.2330912053585, 1, 14.866531610488892, 250, 60374, 8.633119583129883, 6256.42333984375
226, -2569.4439207315445, 3, 6.848046779632568, 117, 60486, 8.664855003356934, 6173.1318359375
227, -2759.2657131552696, 3, 12.593963146209717, 212, 60693, 8.711357116699219, 6350.32421875
228, 2323.978940665722, 1, 6.592689752578735, 113, 60801, 8.351690292358398, 6110.279296875
229, 1816.874942690134, 1, 19.45105218887329, 327, 61123, 8.87801742553711, 6320.9677734375
230, 1975.5752865076065, 1, 12.548420429229736, 212, 61330, 9.656682014465332, 6293.18798828125
231, 2033.0229383707047, 1, 12.779356956481934, 214, 61539, 9.82642936706543, 6363.65771484375
232, 2103.8759242892265, 1, 13.246149778366089, 222, 61756, 8.682395935058594, 6410.26953125
233, -2536.790281832218, 3, 8.27267861366272, 139, 61890, 8.938556671142578, 6332.46728515625
234, -6459.313182592392, 3, 42.54829525947571, 705, 62590, 8.759475708007812, 6517.9306640625
235, 2111.3747853040695, 1, 11.304590463638306, 188, 62773, 9.393433570861816, 6402.6494140625
236, -2489.6840467453003, 3, 3.163165330886841, 58, 62826, 9.398616790771484, 6157.69384765625
237, 1547.8869060277939, 1, 14.29688549041748, 240, 63061, 8.517398834228516, 6482.67236328125
238, 1767.8271137475967, 1, 20.823667287826538, 348, 63404, 9.381526947021484, 6545.79150390625
239, -4022.9941108226776, 2, 8.777259826660156, 148, 63547, 8.699227333068848, 6452.29150390625
240, 2018.7582041621208, 1, 14.640817880630493, 243, 63785, 9.6674222946167, 6567.97216796875
